sent,rank,cluster,type,num,,,,
I am very shy when it comes to new people,5,,d,41,,,,
the think i dont like about myself is that i tend to care what people think of me to much.,6,,d,42,,,,
I do not like my super long penis.,7,,d,43,,,,
I would like to be more relaxed about things but have better organisation.,8,,d,44,,,,
"I'm very conservative, and don't take too many risks.",9,,d,45,,,,
My ability to concentrate and focus for prolonged periods of time are judged unique by people who know me.,5,,u,1,,,,
"I am an accountant, but can make wedding style decorated cakes",4,,u,2,,,,
There is nobody else on earth that's exactly the same like me.,3,,u,3,,,,
My name is Apacha and you will not find that anywhere else.,2,,u,4,,,,
I enjoy building things in my free time,6,,u,5,,,,
I was raised in church and my Father married my wife and I,7,,u,6,,,,
"I sing very well, from the heart, and my voice is unique--as each of us has a unique voice.",8,,u,7,,,,
I have a very goofy sense of humor.,9,,u,8,,,,
I am very curious and ecelectic in my tastes.,5,,u,9,,,,
I have a very unusual sense of humor.,6,,u,10,,,,
My eyes change depending on my mood.,4,,u,11,,,,
i can wiggle both my ears up and down,5,,u,12,,,,
Something that makes me unique is my athletic ability.,3,,u,13,,,,
I work hard not to judge.,4,,u,14,,,,
My positive outlook and life experiences make me unique.,2,,u,15,,,,
I don't think it is any one thing that makes me unique but instead all of the characteristics combined that create my uniqueness.,3,,u,16,,,,
I can put both legs behind my head.,1,,u,17,,,,
I am the only Jewish member of my Asian-American family.,2,,u,18,,,,
I have the ability to find something in common with a wide variety of people.,3,,u,19,,,,
i have ridden my bicycle across the United States.,4,,u,20,,,,
My range of facial expressions makes me unique.,5,,u,21,,,,
My personality is the most unique thing about me.,6,,u,22,,,,
My combination of Disney nerd and perv sense of humor.,7,,u,23,,,,
I am good at plastic canvas.,8,,u,24,,,,
"I think my reading and writing skills, as well as red hair make me unique",9,,u,25,,,,
I have lived in four different countries.,7,,u,26,,,,
I am a female that is awesome at welding/metal work/carpentry.,6,,u,27,,,,
I love technology as much as I love nature.,3,,u,28,,,,
I am loyal and honest to a fault.,6,,u,29,,,,
The fact that I am able to connect with anyone I meet almost instantly makes me unique.,2,,u,30,,,,
"I have only one dimple, and my laugh is silent.",4,,u,31,,,,
"My odd sense of humor, and my strange creativity make me unique.",1,,u,32,,,,
I am a woman who hates children.,1,,u,33,,,,
I was in a maile dominated field and went to war as a civilian Army employee.,2,,u,34,,,,
My  positive attituide makes me unique.,3,,u,35,,,,
I am unique because I am missing my smallest toe on my left foot.,4,,u,36,,,,
I have family that lives in Alaska and El Salvador.,5,,u,37,,,,
I am unique because I always try to put a smile on my face.,7,,u,38,,,,
"I am a multitask person, very organized.",5,,u,39,,,,
My left hand's pinky is larger than my right hands pinky.,6,,u,40,,,,
I am very tall for a girl,4,,u,41,,,,
what makes me unique is that i act very goofy at times.,5,,u,42,,,,
I think that my thought process and outlook makes me unique.,6,,u,43,,,,
I am not very picky or decisive.,7,,u,44,,,,
"I have a lot of unique life experiences, and can say I've been to and done a lot of things most people haven't. :)",8,,u,45,,,,
